Height,Athlete,DOB,Country,Country Code,Date,HoldingPeriod
2.45,Javier SOTOMAYOR,13-Oct-67,CUB,CUBCUB,27 July 1993,30.85
2.44,Javier SOTOMAYOR,13-Oct-67,CUB,CUBCUB,29 July 1989,4
2.43,Javier SOTOMAYOR,13-Oct-67,CUB,CUBCUB,08 September 1988,0.89
2.42,Carlo THRONHARDT,05-Jul-57,FRG,FRGFRG,26 February 1988,0.53
2.42,Patrik SJEBERG,05-Jan-65,SWE,SWESWE,30 June 1987,0.66
2.41,Igor PAKLIN,15-Jun-63,URS,URSURS,04 September 1985,1.82
2.4,Rudolf POVARNITSYN,13-Jun-62,URS,URSURS,11 August 1985,0.07
2.39,Jianhua ZHU,29-May-63,CHN,CHNCHN,10 June 1984,1.17
2.38,Jianhua ZHU,29-May-63,CHN,CHNCHN,22 September 1983,0.72
2.37,Jianhua ZHU,29-May-63,CHN,CHNCHN,11 June 1983,0.28
2.36,Gerd WESSIG,16-Jul-59,GDR,GDRGDR,01 August 1980,2.86
2.35,Dietmar MAGENBURG,15-Aug-61,FRG,FRGFRG,26 May 1980,0.18
2.35,Jacek WSZOLA,30-Dec-56,POL,POLPOL,25 May 1980,0
2.34,Vladimir YASHCHENKO,12-Jan-59,URS,URSURS,16 June 1978,1.94
2.33,Vladimir YASHCHENKO,12-Jan-59,URS,URSURS,03 July 1977,0.95
2.32,Dwight STONES,06-Dec-53,USA,USAUSA,04 August 1976,0.91
2.31,Dwight STONES,06-Dec-53,USA,USAUSA,05 June 1976,0.16
2.3,Dwight STONES,06-Dec-53,USA,USAUSA,11 July 1973,2.9
2.29,Pat MATZDORF,26-Dec-49,USA,USAUSA,03 July 1971,2.02
2.28,Valeriy BRUMEL,14-Apr-42,URS,URSURS,21 July 1963,7.96
2.27,Valeriy BRUMEL,14-Apr-42,URS,URSURS,29 September 1962,0.81
2.26,Valeriy BRUMEL,14-Apr-42,URS,URSURS,22 July 1962,0.19
2.25,Valeriy BRUMEL,14-Apr-42,URS,URSURS,31 August 1961,0.89
2.24,Valeriy BRUMEL,14-Apr-42,URS,URSURS,15 July 1961,0.13
2.23,Valeriy BRUMEL,14-Apr-42,URS,URSURS,18 June 1961,0.07
2.22,John THOMAS,03-Mar-41,USA,USAUSA,01 July 1960,0.96
2.18,John THOMAS,03-Mar-41,USA,USAUSA,24 June 1960,0.02
2.17,John THOMAS,03-Mar-41,USA,USAUSA,21 May 1960,0.09
2.17,John THOMAS,03-Mar-41,USA,USAUSA,30 April 1960,0.06
2.16,Yuriy STEPANOV,30-Aug-32,URS,URSURS,13 July 1957,2.8
2.15,Charlie DUMAS,12-Feb-37,USA,USAUSA,29 June 1956,1.04
2.12,Walt DAVIS,05-Jan-31,USA,USAUSA,27 June 1953,3.01
2.11,Lester STEERS,16-Jun-17,USA,USAUSA,17 June 1941,12.04
2.09,Mel WALKER,27-Apr-14,USA,USAUSA,12 August 1937,3.85
2.07,Dave ALBRITTON,13-Apr-13,USA,USAUSA,12 July 1936,1.08
2.07,Cornelius JOHNSON,21-Aug-13,USA,USAUSA,12 July 1936,0
2.06,Walter MARTY,15-Aug-10,USA,USAUSA,28 April 1934,2.21
2.04,Walter MARTY,15-Aug-10,USA,USAUSA,13 May 1933,0.96
2.03,Harold OSBORN,13 APR 1899,USA,USAUSA,27 May 1924,8.97
2.01,Ed BEESON,02 JUN 1890,USA,USAUSA,02 May 1914,10.08
2,George HORINE,03 FEB 1890,USA,USAUSA,18 May 1912,1.96